ticketid;description;reportedby;reportdate;cinum;internalpriority;reportedpriority;siteid5;status;owner;ownergroup;assetnum;failurecode;failurereportid;linenum;orgid;siteid;ticketclass;ticketid1;type;wonum;description2;failurecode3;failurecodeid;orgid4
5685815;FALLA TELEFONIA;Raquel Mazariegos;2/01/2017 8:19;74819;5;;BUC;CLOSED;;PEINGCTR;;1021;261459;1047;COMCEL;;INCIDENT;5685815;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5685815;FALLA TELEFONIA;Raquel Mazariegos;2/01/2017 8:19;74819;5;;BUC;CLOSED;;PEINGCTR;;102135;261460;5391;COMCEL;;INCIDENT;5685815;CAUSE;;Error humano;102135;1870;COMCEL
5685815;FALLA TELEFONIA;Raquel Mazariegos;2/01/2017 8:19;74819;5;;BUC;CLOSED;;PEINGCTR;;10212903;261461;5853;COMCEL;;INCIDENT;5685815;REMEDY;;Correcion de fusiones en mufa;10212903;1882;COMCEL
5685881;FALLA DATOS;Gustavo Perez;2/01/2017 10:44;54086;5;;BUC;CLOSED;;PEBUCOW;;1021;261535;1047;COMCEL;;INCIDENT;5685881;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5685881;FALLA DATOS;Gustavo Perez;2/01/2017 10:44;54086;5;;BUC;CLOSED;;PEBUCOW;;102125;261536;1105;COMCEL;;INCIDENT;5685881;CAUSE;;Sabotaje;102125;117;COMCEL
5685881;FALLA DATOS;Gustavo Perez;2/01/2017 10:44;54086;5;;BUC;CLOSED;;PEBUCOW;;10210101;261537;1161;COMCEL;;INCIDENT;5685881;REMEDY;;Reparacion tramo fibra;10210101;119;COMCEL
5685952;FALLA DATOS;carlos sanchez;2/01/2017 12:27;1700;5;;BUC;CLOSED;;PEBUCOW;;1031;261719;5153;COMCEL;;INCIDENT;5685952;PROBLEM;;ATENUACION DE FIBRA;1031;1753;COMCEL
5685952;FALLA DATOS;carlos sanchez;2/01/2017 12:27;1700;5;;BUC;CLOSED;;PEBUCOW;;103102;261721;5159;COMCEL;;INCIDENT;5685952;CAUSE;;Falta preventivo Plex;103102;1756;COMCEL
5685952;FALLA DATOS;carlos sanchez;2/01/2017 12:27;1700;5;;BUC;CLOSED;;PEBUCOW;;10310205;261722;5203;COMCEL;;INCIDENT;5685952;REMEDY;;Reemplazo de patch cord, acoplador o pigtail;10310205;1777;COMCEL
5685956;FALLA CORE TX - RIESGO;;2/01/2017 12:29;TELL@BSA.TE10650;2;5;OT;CLOSED;;PW-IZB02;;7011;261532;1713;COMCEL;;INCIDENT;5685956;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5685956;FALLA CORE TX - RIESGO;;2/01/2017 12:29;TELL@BSA.TE10650;2;5;OT;CLOSED;;PW-IZB02;;701101;261533;1719;COMCEL;;INCIDENT;5685956;CAUSE;;Mala Calidad de Energia Comercial;701101;580;COMCEL
5685956;FALLA CORE TX - RIESGO;;2/01/2017 12:29;TELL@BSA.TE10650;2;5;OT;CLOSED;;PW-IZB02;;70110101;261534;1759;COMCEL;;INCIDENT;5685956;REMEDY;;reconexion de energia;70110101;691;COMCEL
5685960;FALLA CORE TX - RIESGO;;2/01/2017 12:34;TELL@BSA.TE10600;2;;OT;CLOSED;;TXSUPENG;;9011;261526;1909;COMCEL;;INCIDENT;5685960;PROBLEM;;Indeterminado;9011;901;COMCEL
5685960;FALLA CORE TX - RIESGO;;2/01/2017 12:34;TELL@BSA.TE10600;2;;OT;CLOSED;;TXSUPENG;;901101;261527;1911;COMCEL;;INCIDENT;5685960;CAUSE;;Sin intervencion;901101;903;COMCEL
5685960;FALLA CORE TX - RIESGO;;2/01/2017 12:34;TELL@BSA.TE10600;2;;OT;CLOSED;;TXSUPENG;;90110101;261528;4485;COMCEL;;INCIDENT;5685960;REMEDY;;No se detectaron problemas en servicio;90110101;1434;COMCEL
5685975;FALLA CORE TX - AFECTACION;;2/01/2017 12:51;IPRAN@ATN.10.245.217.47;3;;OT;CLOSED;;PESOLCOA;;1021;261646;1047;COMCEL;;INCIDENT;5685975;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5685975;FALLA CORE TX - AFECTACION;;2/01/2017 12:51;IPRAN@ATN.10.245.217.47;3;;OT;CLOSED;;PESOLCOA;;102108;261649;1071;COMCEL;;INCIDENT;5685975;CAUSE;;Corte de fibra;102108;82;COMCEL
5685976;FALLA DATOS;estuardo thomas  -;2/01/2017 12:51;29996;4;;BUC;CLOSED;;PEBUCOW;;1021;261547;1047;COMCEL;;INCIDENT;5685976;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5685976;FALLA DATOS;estuardo thomas  -;2/01/2017 12:51;29996;4;;BUC;CLOSED;;PEBUCOW;;102135;261548;5391;COMCEL;;INCIDENT;5685976;CAUSE;;Error humano;102135;1870;COMCEL
5685976;FALLA DATOS;estuardo thomas  -;2/01/2017 12:51;29996;4;;BUC;CLOSED;;PEBUCOW;;10212905;261549;5857;COMCEL;;INCIDENT;5685976;REMEDY;;Corrimiento de reserva y fusion;10212905;1884;COMCEL
5686054;FALLA DATOS;Marvin Zoto-;2/01/2017 15:02;46776;5;;BUC;CLOSED;;MEBUCOW;;4011;261595;1579;COMCEL;;INCIDENT;5686054;PROBLEM;;CONEXI覰 - CONEXI覰 F蚐ICA;4011;821;COMCEL
5686054;FALLA DATOS;Marvin Zoto-;2/01/2017 15:02;46776;5;;BUC;CLOSED;;MEBUCOW;;401109;261596;1597;COMCEL;;INCIDENT;5686054;CAUSE;;Desconexion de interfases;401109;843;COMCEL
5686054;FALLA DATOS;Marvin Zoto-;2/01/2017 15:02;46776;5;;BUC;CLOSED;;MEBUCOW;;40110105;261597;1617;COMCEL;;INCIDENT;5686054;REMEDY;;conexi髇 de interfases;40110105;864;COMCEL
5686151;FALLA CORE TX - RIESGO;;2/01/2017 18:36;TELL@BSA.TE1640;2;5;OT;CLOSED;;TXSUPENG;;9011;261622;1909;COMCEL;;INCIDENT;5686151;PROBLEM;;Indeterminado;9011;901;COMCEL
5686151;FALLA CORE TX - RIESGO;;2/01/2017 18:36;TELL@BSA.TE1640;2;5;OT;CLOSED;;TXSUPENG;;901101;261623;1911;COMCEL;;INCIDENT;5686151;CAUSE;;Sin intervencion;901101;903;COMCEL
5686151;FALLA CORE TX - RIESGO;;2/01/2017 18:36;TELL@BSA.TE1640;2;5;OT;CLOSED;;TXSUPENG;;90110101;261624;4485;COMCEL;;INCIDENT;5686151;REMEDY;;No se detectaron problemas en servicio;90110101;1434;COMCEL
5686223;FALLA CORE TX - AFECTACION;;2/01/2017 20:22;IPRAN@10.4.137.60;3;5;OT;CLOSED;;RF-SCT01;;7011;261625;1713;COMCEL;;INCIDENT;5686223;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5686223;FALLA CORE TX - AFECTACION;;2/01/2017 20:22;IPRAN@10.4.137.60;3;5;OT;CLOSED;;RF-SCT01;;701101;261626;1719;COMCEL;;INCIDENT;5686223;CAUSE;;Mala Calidad de Energia Comercial;701101;580;COMCEL
5686223;FALLA CORE TX - AFECTACION;;2/01/2017 20:22;IPRAN@10.4.137.60;3;5;OT;CLOSED;;RF-SCT01;;70110101;261627;1759;COMCEL;;INCIDENT;5686223;REMEDY;;reconexion de energia;70110101;691;COMCEL
5686270;FALLA CORE TX - AFECTACION;DPEREZM;3/01/2017 5:35;IPRAN@ATN.10.245.235.45;5;5;OT;CLOSED;;PEINGZCP;;1021;261640;1047;COMCEL;;INCIDENT;5686270;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5686270;FALLA CORE TX - AFECTACION;DPEREZM;3/01/2017 5:35;IPRAN@ATN.10.245.235.45;5;5;OT;CLOSED;;PEINGZCP;;102101;261641;1055;COMCEL;;INCIDENT;5686270;CAUSE;;Roedor se come la fibra;102101;68;COMCEL
5686270;FALLA CORE TX - AFECTACION;DPEREZM;3/01/2017 5:35;IPRAN@ATN.10.245.235.45;5;5;OT;CLOSED;;PEINGZCP;;10210101;261642;1107;COMCEL;;INCIDENT;5686270;REMEDY;;Reparacion tramo fibra;10210101;119;COMCEL
5686307;FALLA CORE TX - AFECTACION;;3/01/2017 8:07;TELLABS@8609.10.32.3.204;3;5;OT;CLOSED;;RF-IZB02;;701125;261727;4723;COMCEL;;INCIDENT;5686307;CAUSE;;Calidad Energia Comercial;701125;1545;COMCEL
5686307;FALLA CORE TX - AFECTACION;;3/01/2017 8:07;TELLABS@8609.10.32.3.204;3;5;OT;CLOSED;;RF-IZB02;;7011;261725;1713;COMCEL;;INCIDENT;5686307;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5686307;FALLA CORE TX - AFECTACION;;3/01/2017 8:07;TELLABS@8609.10.32.3.204;3;5;OT;CLOSED;;RF-IZB02;;70112501;261728;4725;COMCEL;;INCIDENT;5686307;REMEDY;;Conexi髇 de MG Port醫il;70112501;1546;COMCEL
5686310;FALLA CORE TX - RIESGO;;3/01/2017 8:14;TELL@BSA.TE1630;4;;OT;CLOSED;;TXSUPENG;;7011;262060;1713;COMCEL;;INCIDENT;5686310;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5686310;FALLA CORE TX - RIESGO;;3/01/2017 8:14;TELL@BSA.TE1630;4;;OT;CLOSED;;TXSUPENG;;701101;262061;1719;COMCEL;;INCIDENT;5686310;CAUSE;;Mala Calidad de Energia Comercial;701101;580;COMCEL
5686310;FALLA CORE TX - RIESGO;;3/01/2017 8:14;TELL@BSA.TE1630;4;;OT;CLOSED;;TXSUPENG;;70110101;262062;1759;COMCEL;;INCIDENT;5686310;REMEDY;;reconexion de energia;70110101;691;COMCEL
5686322;FALLA TELEFONIA;Vicky -;3/01/2017 8:50;44776;5;;BUC;CLOSED;;MASTERTX;;;;;;;;;;;;;;
5686336;FALLA INTERNET;Vicky -;3/01/2017 9:09;56223;5;;BUC;CLOSED;;PEBUCOW;;1021;261753;1047;COMCEL;;INCIDENT;5686336;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5686336;FALLA INTERNET;Vicky -;3/01/2017 9:09;56223;5;;BUC;CLOSED;;PEBUCOW;;102107;261754;1069;COMCEL;;INCIDENT;5686336;CAUSE;;Camion se pasa llevando la fibra;102107;80;COMCEL
5686336;FALLA INTERNET;Vicky -;3/01/2017 9:09;56223;5;;BUC;CLOSED;;PEBUCOW;;10210101;261755;1123;COMCEL;;INCIDENT;5686336;REMEDY;;Reparacion tramo fibra;10210101;119;COMCEL
5686443;FALLA CORE TX - AFECTACION;;3/01/2017 11:20;IPRAN@ATN.10.245.221.22;4;;OT;CLOSED;;PESOLSCH;;1021;261775;1047;COMCEL;;INCIDENT;5686443;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5686443;FALLA CORE TX - AFECTACION;;3/01/2017 11:20;IPRAN@ATN.10.245.221.22;4;;OT;CLOSED;;PESOLSCH;;102101;261776;1055;COMCEL;;INCIDENT;5686443;CAUSE;;Roedor se come la fibra;102101;68;COMCEL
5686443;FALLA CORE TX - AFECTACION;;3/01/2017 11:20;IPRAN@ATN.10.245.221.22;4;;OT;CLOSED;;PESOLSCH;;10210106;261777;2559;COMCEL;;INCIDENT;5686443;REMEDY;;Fusion de hilos de fibra;10210106;1030;COMCEL
5686486;FALLA TELEFONIA;526;3/01/2017 12:02;PBX22907400;5;;BUC;CLOSED;;PEBUCOW;;1021;261794;1047;COMCEL;;INCIDENT;5686486;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5686486;FALLA TELEFONIA;526;3/01/2017 12:02;PBX22907400;5;;BUC;CLOSED;;PEBUCOW;;102121;261795;1097;COMCEL;;INCIDENT;5686486;CAUSE;;Patchcord da馻do;102121;108;COMCEL
5686486;FALLA TELEFONIA;526;3/01/2017 12:02;PBX22907400;5;;BUC;CLOSED;;PEBUCOW;;10210104;261796;1153;COMCEL;;INCIDENT;5686486;REMEDY;;cambio patchcord;10210104;125;COMCEL
5686552;FALLA CORE TX - AFECTACION;;3/01/2017 12:55;RECTIFICADOR@EMERSON10.25.4.83;3;;OT;CLOSED;;TXSUPENG;;9011;261760;1909;COMCEL;;INCIDENT;5686552;PROBLEM;;Indeterminado;9011;901;COMCEL
5686552;FALLA CORE TX - AFECTACION;;3/01/2017 12:55;RECTIFICADOR@EMERSON10.25.4.83;3;;OT;CLOSED;;TXSUPENG;;901101;261761;1911;COMCEL;;INCIDENT;5686552;CAUSE;;Sin intervencion;901101;903;COMCEL
5686552;FALLA CORE TX - AFECTACION;;3/01/2017 12:55;RECTIFICADOR@EMERSON10.25.4.83;3;;OT;CLOSED;;TXSUPENG;;90110101;261762;4485;COMCEL;;INCIDENT;5686552;REMEDY;;No se detectaron problemas en servicio;90110101;1434;COMCEL
5686564;FALLA DATOS;Kristian Larios <;3/01/2017 13:33;1892;5;;BUC;CLOSED;;MEBUCOW;;;;;;;;;;;;;;
5686582;FALLA CORE TX - RIESGO;;3/01/2017 14:24;RECTIFICADOR@EMERSON172.33.144.10;2;5;OT;CLOSED;;PW-GUA05;;7011;261903;1713;COMCEL;;INCIDENT;5686582;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5686582;FALLA CORE TX - RIESGO;;3/01/2017 14:24;RECTIFICADOR@EMERSON172.33.144.10;2;5;OT;CLOSED;;PW-GUA05;;701116;261904;1755;COMCEL;;INCIDENT;5686582;CAUSE;;AA Congelado;701116;687;COMCEL
5686582;FALLA CORE TX - RIESGO;;3/01/2017 14:24;RECTIFICADOR@EMERSON172.33.144.10;2;5;OT;CLOSED;;PW-GUA05;;70110116;261905;1789;COMCEL;;INCIDENT;5686582;REMEDY;;revision AA;70110116;721;COMCEL
5686593;FALLA DATOS;RUDY ZURITA,;3/01/2017 14:43;88294;5;;BUC;CLOSED;;PEBUCOW;;1021;261982;1047;COMCEL;;INCIDENT;5686593;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5686593;FALLA DATOS;RUDY ZURITA,;3/01/2017 14:43;88294;5;;BUC;CLOSED;;PEBUCOW;;102101;261983;1055;COMCEL;;INCIDENT;5686593;CAUSE;;Roedor se come la fibra;102101;68;COMCEL
5686593;FALLA DATOS;RUDY ZURITA,;3/01/2017 14:43;88294;5;;BUC;CLOSED;;PEBUCOW;;10210101;261987;1107;COMCEL;;INCIDENT;5686593;REMEDY;;Reparacion tramo fibra;10210101;119;COMCEL
5686596;FALLA CORE TX - RIESGO;;3/01/2017 14:45;IPRAN@ATN.10.245.217.48;2;;OT;CLOSED;;PESOLCOA;;1021;262075;1047;COMCEL;;INCIDENT;5686596;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5686596;FALLA CORE TX - RIESGO;;3/01/2017 14:45;IPRAN@ATN.10.245.217.48;2;;OT;CLOSED;;PESOLCOA;;102101;262076;1055;COMCEL;;INCIDENT;5686596;CAUSE;;Roedor se come la fibra;102101;68;COMCEL
5686596;FALLA CORE TX - RIESGO;;3/01/2017 14:45;IPRAN@ATN.10.245.217.48;2;;OT;CLOSED;;PESOLCOA;;10210101;262077;1107;COMCEL;;INCIDENT;5686596;REMEDY;;Reparacion tramo fibra;10210101;119;COMCEL
5686637;FALLA DATOS;ingrid pacas;3/01/2017 15:20;70961;5;;BUC;CLOSED;;PEBUCOW;;;;;;;;;;;;;;
5686640;FALLA CORE TX - RIESGO;;3/01/2017 15:22;TELL@BSA.TE615;2;5;OT;CLOSED;;PESOLHHT;;1031;262080;5153;COMCEL;;INCIDENT;5686640;PROBLEM;;ATENUACION DE FIBRA;1031;1753;COMCEL
5686640;FALLA CORE TX - RIESGO;;3/01/2017 15:22;TELL@BSA.TE615;2;5;OT;CLOSED;;PESOLHHT;;103102;262081;5159;COMCEL;;INCIDENT;5686640;CAUSE;;Falta preventivo Plex;103102;1756;COMCEL
5686640;FALLA CORE TX - RIESGO;;3/01/2017 15:22;TELL@BSA.TE615;2;5;OT;CLOSED;;PESOLHHT;;10310205;262082;5203;COMCEL;;INCIDENT;5686640;REMEDY;;Reemplazo de patch cord, acoplador o pigtail;10310205;1777;COMCEL
5686672;FALLA CORE TX - AFECTACION;;3/01/2017 15:52;U2000A@10.2.205.3;3;;OT;CLOSED;;RF-MET03;;;;;;;;;;;;;;
5686706;FALLA INTERNET;AMRAMOS;3/01/2017 16:22;52929;5;;BUC;CLOSED;;PEBUCOW;;4011;261970;1579;COMCEL;;INCIDENT;5686706;PROBLEM;;CONEXI覰 - CONEXI覰 F蚐ICA;4011;821;COMCEL
5686706;FALLA INTERNET;AMRAMOS;3/01/2017 16:22;52929;5;;BUC;CLOSED;;PEBUCOW;;401109;261971;1597;COMCEL;;INCIDENT;5686706;CAUSE;;Desconexion de interfases;401109;843;COMCEL
5686706;FALLA INTERNET;AMRAMOS;3/01/2017 16:22;52929;5;;BUC;CLOSED;;PEBUCOW;;40110105;261972;1617;COMCEL;;INCIDENT;5686706;REMEDY;;conexi髇 de interfases;40110105;864;COMCEL
5686824;FALLA CORE TX - RIESGO;;3/01/2017 18:34;TELL@BSA.TE1640;2;5;OT;CLOSED;;TXSUPENG;;7011;261879;1713;COMCEL;;INCIDENT;5686824;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5686824;FALLA CORE TX - RIESGO;;3/01/2017 18:34;TELL@BSA.TE1640;2;5;OT;CLOSED;;TXSUPENG;;701101;261880;1719;COMCEL;;INCIDENT;5686824;CAUSE;;Mala Calidad de Energia Comercial;701101;580;COMCEL
5686824;FALLA CORE TX - RIESGO;;3/01/2017 18:34;TELL@BSA.TE1640;2;5;OT;CLOSED;;TXSUPENG;;70110101;261881;1759;COMCEL;;INCIDENT;5686824;REMEDY;;reconexion de energia;70110101;691;COMCEL
5686829;FALLA CORE TX - AFECTACION;;3/01/2017 18:59;IPRAN@S93.10.25.251.226;3;;OT;CLOSED;;RF-EPG02;;4011;261900;1579;COMCEL;;INCIDENT;5686829;PROBLEM;;CONEXI覰 - CONEXI覰 F蚐ICA;4011;821;COMCEL
5686829;FALLA CORE TX - AFECTACION;;3/01/2017 18:59;IPRAN@S93.10.25.251.226;3;;OT;CLOSED;;RF-EPG02;;401109;261901;1597;COMCEL;;INCIDENT;5686829;CAUSE;;Desconexion de interfases;401109;843;COMCEL
5686829;FALLA CORE TX - AFECTACION;;3/01/2017 18:59;IPRAN@S93.10.25.251.226;3;;OT;CLOSED;;RF-EPG02;;40110105;261902;1617;COMCEL;;INCIDENT;5686829;REMEDY;;conexi髇 de interfases;40110105;864;COMCEL
5686841;FALLA CORE TX - AFECTACION;BGARCIAH;3/01/2017 19:11;TELL@BSA.TE782;5;5;OT;CLOSED;;RF-MET03;;7011;261882;1713;COMCEL;;INCIDENT;5686841;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5686841;FALLA CORE TX - AFECTACION;BGARCIAH;3/01/2017 19:11;TELL@BSA.TE782;5;5;OT;CLOSED;;RF-MET03;;701108;261883;1737;COMCEL;;INCIDENT;5686841;CAUSE;;Rectificador Inhibido;701108;594;COMCEL
5686841;FALLA CORE TX - AFECTACION;BGARCIAH;3/01/2017 19:11;TELL@BSA.TE782;5;5;OT;CLOSED;;RF-MET03;;70110108;261884;1773;COMCEL;;INCIDENT;5686841;REMEDY;;reinicio rectificador;70110108;705;COMCEL
5686873;FALLA CORE TX - RIESGO;;3/01/2017 19:32;TELL@BSA.TE782;2;;OT;CLOSED;;MASTERTX;;7011;262093;1713;COMCEL;;INCIDENT;5686873;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5686873;FALLA CORE TX - RIESGO;;3/01/2017 19:32;TELL@BSA.TE782;2;;OT;CLOSED;;MASTERTX;;701108;262094;1737;COMCEL;;INCIDENT;5686873;CAUSE;;Rectificador Inhibido;701108;594;COMCEL
5686873;FALLA CORE TX - RIESGO;;3/01/2017 19:32;TELL@BSA.TE782;2;;OT;CLOSED;;MASTERTX;;70110108;262095;1773;COMCEL;;INCIDENT;5686873;REMEDY;;reinicio rectificador;70110108;705;COMCEL
5686884;FALLA CORE TX - AFECTACION;;3/01/2017 20:52;36926;3;4;OT;CLOSED;;RF-MET03;;7011;261885;1713;COMCEL;;INCIDENT;5686884;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5686884;FALLA CORE TX - AFECTACION;;3/01/2017 20:52;36926;3;4;OT;CLOSED;;RF-MET03;;701101;261886;1719;COMCEL;;INCIDENT;5686884;CAUSE;;Mala Calidad de Energia Comercial;701101;580;COMCEL
5686884;FALLA CORE TX - AFECTACION;;3/01/2017 20:52;36926;3;4;OT;CLOSED;;RF-MET03;;70110101;261887;1759;COMCEL;;INCIDENT;5686884;REMEDY;;reconexion de energia;70110101;691;COMCEL
5687113;FALLA CORE TX - AFECTACION;DPEREZM;3/01/2017 22:53;DWDM@HUAWEI.ENTRE RIOSIII;3;;OT;CLOSED;;UFINET;;1021;261897;1047;COMCEL;;INCIDENT;5687113;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5687113;FALLA CORE TX - AFECTACION;DPEREZM;3/01/2017 22:53;DWDM@HUAWEI.ENTRE RIOSIII;3;;OT;CLOSED;;UFINET;;102134;261898;5389;COMCEL;;INCIDENT;5687113;CAUSE;;Corte de fibra en proveedores;102134;1869;COMCEL
5687113;FALLA CORE TX - AFECTACION;DPEREZM;3/01/2017 22:53;DWDM@HUAWEI.ENTRE RIOSIII;3;;OT;CLOSED;;UFINET;;10212913;261899;5843;COMCEL;;INCIDENT;5687113;REMEDY;;Tendido de fibra;10212913;1892;COMCEL
5687477;FALLA INTERNET;Tony Camey.;4/01/2017 5:38;82974;5;;BUC;CLOSED;;PEBUCOW;;1021;261919;1047;COMCEL;;INCIDENT;5687477;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5687477;FALLA INTERNET;Tony Camey.;4/01/2017 5:38;82974;5;;BUC;CLOSED;;PEBUCOW;;102132;261923;5385;COMCEL;;INCIDENT;5687477;CAUSE;;Vandalismo;102132;1867;COMCEL
